Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
Big Trouble in Little China,1986,99 min.,John Carpenter,Kurt Russell,Action,Action Comedy
Animal Crackers,1930,97 min.,Victor Heerman,Harpo Marx,Absurd Comedy,Comedy
The Verdict,1982,129 min.,Sidney Lumet,Paul Newman,Courtroom Drama,Drama
Serpico,1973,130 min.,Sidney Lumet,Al Pacino,Based-on-a-True-Story,Biopic
Knives Out,2019,130 min.,Rian Johnson,Daniel Craig,Comedy Thriller,Comedy
Au Hasard Balthazar,1966,95 min.,Robert Bresson,Anne Wiazemsky,Animal Picture,Drama
12 Years a Slave,2013,133 min.,Steve McQueen,Chiwetel Ejiofor,Based-on-19th-Century-Literature,Based-on-a-True-Story
Rushmore,1998,93 min.,Wes Anderson,Bill Murray,Comedy Drama,Coming-of-Age
Harry Potter and the Prisoner of Azkaban,2004,141 min.,Alfonso Cuarón,Daniel Radcliffe,Adventure,Family-Oriented Adventure
The Right Stuff,1983,193 min.,Philip Kaufman,Sam Shepard,Adventure Drama,Adventure
Inside Llewyn Davis,2013,105 min.,Joel & Ethan Coen,Oscar Isaac,Drama,Period Film
Kagemusha,1980,162 min.,Akira Kurosawa,Tatsuya Nakadai,Based-on-a-True-Story,Combat Films
My Darling Clementine,1946,97 min.,John Ford,Henry Fonda,Drama,Traditional Western
The Warriors,1979,92 min.,Walter Hill,Michael Beck,Action,Action Thriller
Day for Night,1973,115 min.,François Truffaut,Jacqueline Bisset,Comedy Drama,Drama
Straw Dogs,1971,118 min.,Sam Peckinpah,Dustin Hoffman,Drama,Home Invasion Film
Amarcord,1973,123 min.,Federico Fellini,Bruno Zanin,Comedy Drama,Coming-of-Age
Gilda,1946,110 min.,Charles Vidor,Joseph Calleia,Drama,Femme Fatale
Night and Fog,1956,32 min.,Alain Resnais,Michel Bouquet,Documentary,Essay Film
Don't Look Now,1973,110 min.,Nicolas Roeg,Julie Christie,Based-on-20th-Century-Literature,Horror
Once Upon a Time ...in Hollywood,2019,161 min.,Quentin Tarantino,Leonardo DiCaprio,Black Comedy,Comedy Drama
Cat on a Hot Tin Roof,1958,108 min.,Richard Brooks,Paul Newman,Based-on-Theatre,Drama
High Fidelity,2000,113 min.,Stephen Frears,John Cusack,Comedy Drama,Comedy of Manners
Hard Boiled,1992,126 min.,John Woo,Chow Yun-Fat,Action Thriller,Action
"Steamboat Bill, Jr.",1928,71 min.,Charles Reisner,Buster Keaton,Action Comedy,Comedy
Anchorman: The Legend of Ron Burgundy,2004,94 min.,Adam McKay,Will Ferrell,Comedy,Media Satire
A Hard Day's Night,1964,87 min.,Richard Lester,John Lennon,Absurd Comedy,British New Wave
District 9,2009,112 min.,Neill Blomkamp,Vanessa Haywood,Action,Psychological Sci-Fi
Inherit the Wind,1960,128 min.,Stanley Kramer,Fredric March,Based-on-a-True-Story,Based-on-Theatre
X-Men,2000,104 min.,Bryan Singer,Hugh Jackman,Action,Based-on-Comics
Animal House,1978,109 min.,John Landis,John Belushi,Absurd Comedy,Comedy
Sabrina,1954,113 min.,Billy Wilder,Humphrey Bogart,Comedy Drama,Romance
Lethal Weapon,1987,117 min.,Richard Donner,Mel Gibson,Action Thriller,Action
Nightcrawler,2014,117 min.,Dan Gilroy,Jake Gyllenhaal,Crime Thriller,Crime
Once Upon a Time in America,1984,229 min.,Sergio Leone,Robert De Niro,Based-on-20th-Century-Literature,Crime Drama
Love and Death,1975,85 min.,Woody Allen,Diane Keaton,Comedy of Errors,Comedy
The Hangover,2009,96 min.,Todd Phillips,Ed Helms,Absurd Comedy,Buddy Film
Zombieland,2009,80 min.,Ruben Fleischer,Jesse Eisenberg,Comedy,Girls-with-Guns
Captain America: Civil War,2016,147 min.,"Anthony Russo, Joe Russo",Chris Evans,Action Thriller,Action
Dawn of the Dead,1978,126 min.,George A. Romero,David Emge,Horror,Monster Film
Marathon Man,1976,125 min.,John Schlesinger,Dustin Hoffman,New Hollywood,Paranoid Thriller
Edge of Tomorrow,2014,113 min.,Doug Liman,Tom Cruise,Action,Alien Invasion Films
Breakfast at Tiffany's,1961,115 min.,Blake Edwards,George Peppard,Comedy Drama,Comedy of Manners
Oppenheimer,2023,180 min.,Christopher Nolan,Cillian Murphy,Based-on-21st-Century-Literature,Based-on-a-True-Story
The Lion in Winter,1968,134 min.,Anthony Harvey,Anthony Hopkins,Based-on-Theatre,Drama
Lost in Translation,2003,102 min.,Sofia Coppola,Bill Murray,Comedy Drama,Comedy of Manners
The Day the Earth Stood Still,1951,92 min.,Robert Wise,Michael Rennie,Alien Invasion Films,Apocalyptic Film
Invasion of the Body Snatchers,1956,80 min.,Don Siegel,Kevin McCarthy,Alien Invasion Films,Apocalyptic Film
Die Hard With a Vengeance,1995,131 min.,John McTiernan,Bruce Willis,Action Thriller,Action
From Here to Eternity,1953,118 min.,Fred Zinnemann,Burt Lancaster,Based-on-20th-Century-Literature,Drama
Lolita,1962,152 min.,Stanley Kubrick,James Mason,Based-on-20th-Century-Literature,Black Comedy
Thor: Ragnarok,2017,130 min.,Taika Waititi,Chris Hemsworth,Action,Adventure
Dazed and Confused,1993,103 min.,Richard Linklater,Jason London,Comedy Drama,Coming-of-Age
Spider-Man: Across the Spider-Verse,2023,140 min.,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",Shameik Moore,Action,Adventure
Ratatouille,2007,111 min.,Brad Bird,Peter O'Toole,Animation,Comedy
La jetée,1962,28 min.,Chris Marker,Jean Négroni,Avant-garde / Experimental,Foreign Language Film
Gone Girl,2014,145 min.,David Fincher,Ben Affleck,Based-on-21st-Century-Literature,Drama
Au Revoir Les Enfants,1987,104 min.,Louis Malle,Gaspard Manesse,Childhood Drama,Coming-of-Age
Midnight Run,1988,126 min.,Martin Brest,Robert De Niro,Action Comedy,Action
3 Women,1977,124 min.,Robert Altman,Sissy Spacek,Drama,Feminist Film
The Lives of Others,2006,137 min.,Florian Henckel von Donnersmarck,Martina Gedeck,Drama,Foreign Language Film
The Young Girls of Rochefort,1967,128 min.,Jacques Demy,Catherine Deneuve,Comedy,Foreign Language Film
Possession,1981,123 min.,Andrzej Zulawski,Isabelle Adjani,Avant-garde / Experimental,Drama
Three Days of the Condor,1975,117 min.,Sydney Pollack,Robert Redford,New Hollywood,Paranoid Thriller
The Decalogue,1989,550 min.,Krzysztof Kieslowski,Artur Barcis,Anthology Film,Drama
Eraserhead,1977,89 min.,David Lynch,Jack Nance,Avant-garde / Experimental,Body Horror
Picnic at Hanging Rock,1975,115 min.,Peter Weir,Jenny Lovell,Australian New Wave,Based-on-20th-Century-Literature
Kwaidan,1964,183 min.,Masaki Kobayashi,Rentaro Mikuni,Anthology Film,Based-on-20th-Century-Literature
Gangs of New York,2002,167 min.,Martin Scorsese,Leonardo DiCaprio,Based-on-20th-Century-Literature,Crime Drama
Brick,2005,110 min.,Rian Johnson,Joseph Gordon-Levitt,Crime Drama,Crime
The Killer,1989,111 min.,John Woo,Chow Yun-Fat,Action Thriller,Action
Caddyshack,1980,98 min.,Harold Ramis,Chevy Chase,Comedy,Gross-Out Comedy
Spotlight,2015,128 min.,Tom McCarthy,Michael Keaton,Based-on-a-True-Story,Docudrama
Ball of Fire,1941,111 min.,Howard Hawks,Barbara Stanwyck,Comedy of Manners,Comedy
Little Miss Sunshine,2006,101 min.,"Jonathan Dayton, Valerie Faris",Greg Kinnear,Comedy Drama,Comedy
Slumdog Millionaire,2008,120 min.,"Danny Boyle, Loveleen Tandan",Dev Patel,Based-on-21st-Century-Literature,Drama
Raise the Red Lantern,1991,125 min.,Yimou Zhang,Gong Li,Based-on-20th-Century-Literature,Drama
The Martian,2015,130 min.,Ridley Scott,Matt Damon,Adventure Drama,Adventure
The Double Life of Veronique,1991,98 min.,Krzysztof Kieslowski,Wladyslaw Kowalski,Drama,Foreign Language Film
Hoop Dreams,1994,170 min.,Steve James,Spike Lee,Biography,Culture and Society
Wayne's World,1992,94 min.,Penelope Spheeris,Mike Myers,Absurd Comedy,Based-on-Television
Ivan's Childhood,1962,95 min.,Andrei Tarkovsky,Nikolay Burlyaev,Based-on-20th-Century-Literature,Childhood Drama
1917,2019,118 min.,Sam Mendes,Dean-Charles Chapman,Drama,Epic
Lifeboat,1944,96 min.,Alfred Hitchcock,Tallulah Bankhead,Adventure,Drama
Cast Away,2000,143 min.,Robert Zemeckis,Tom Hanks,Adventure Drama,Adventure
The Jerk,1979,94 min.,Carl Reiner,Steve Martin,Absurd Comedy,Comedy
"What's Up, Doc?",1972,94 min.,Peter Bogdanovich,Barbra Streisand,Comedy of Errors,Comedy
A Christmas Story,1983,93 min.,Bob Clark,Melinda Dillon,Americana,Comedy Drama
Magnolia,1999,188 min.,Paul Thomas Anderson,Philip Seymour Hoffman,Drama,Ensemble Film
Halloween,1978,91 min.,John Carpenter,Donald Pleasence,Horror,Slasher Film
The Man Who Knew Too Much,1956,120 min.,Alfred Hitchcock,James Stewart,Political Thriller,Psychological Thriller
The Killers,1946,103 min.,Robert Siodmak,Ava Gardner,Based-on-20th-Century-Literature,Crime
L'atalante,1934,89 min.,Jean Vigo,Michel Simon,Adventure Drama,Drama
The Quiet Man,1952,129 min.,John Ford,John Wayne,Comedy Drama,Drama
Bullitt,1968,114 min.,Peter Yates,Steve McQueen,Action Thriller,Chase Movie
Howl's Moving Castle,2004,119 min.,Hayao Miyazaki,Chieko Baisho,Adventure,Animation
"Planes, Trains & Automobiles",1987,93 min.,John Hughes,Steve Martin,Comedy of Errors,Comedy
Once,2006,85 min.,John Carney,Markéta Irglová,Drama,Musical
Re-Animator,1985,95 min.,Stuart Gordon,Jeffrey Combs,Based-on-20th-Century-Literature,Black Comedy
Duel,1971,74 min.,Steven Spielberg,Dennis Weaver,Action Thriller,Action
Le trou,1960,132 min.,Jacques Becker,Michel Constantin,Crime Drama,Crime
Escape from New York,1981,99 min.,John Carpenter,Kurt Russell,Action Thriller,Action
Sleuth,1972,138 min.,Joseph L. Mankiewicz,Laurence Olivier,Based-on-Theatre,Mystery
House,1977,88 min.,Nobuhiko Ôbayashi,Kimiko Ikegami,Avant-garde / Experimental,Comedy
Seconds,1966,107 min.,John Frankenheimer,Rock Hudson,Based-on-20th-Century-Literature,Drama
Cape Fear,1962,105 min.,J. Lee Thompson,Gregory Peck,Based-on-20th-Century-Literature,Crime
The Royal Tenenbaums,2001,110 min.,Wes Anderson,Ben Stiller,Comedy Drama,Comedy of Manners
Scenes from a Marriage,1973,169 min.,Ingmar Bergman,Bibi Andersson,Drama,Foreign Language Film
Battleship Potemkin,1925,75 min.,Sergei M. Eisenstein,Aleksandr Antonov,Drama,Foreign Language Film
Warrior,2011,141 min.,Gavin O'Connor,Tom Hardy,Action,Drama
A Few Good Men,1992,138 min.,Rob Reiner,Tom Cruise,Based-on-Theatre,Courtroom Drama
"Kiss Kiss, Bang Bang",2005,103 min.,Shane Black,Robert Downey Jr.,Comedy,Crime Comedy
You Can't Take It With You,1938,126 min.,Frank Capra,Edward Arnold,Based-on-Theatre,Comedy
Only Angels Have Wings,1939,121 min.,Howard Hawks,Cary Grant,Adventure,Buddy Film
The Wicker Man,1973,100 min.,Robin Hardy,Edward Woodward,Based-on-20th-Century-Literature,Folk Horror
I Saw the Devil,2010,144 min.,Jee-woon Kim,Byung-hun Lee,Crime Thriller,Crime
Forbidden Planet,1956,98 min.,Fred M. Wilcox,Walter Pidgeon,Action,Adventure
Spellbound,1945,111 min.,Alfred Hitchcock,Ingrid Bergman,Drama,Film Noir
Viridiana,1961,90 min.,Luis Buñuel,Silvia Pinal,Black Comedy,Comedy Drama
Pickup on South Street,1953,80 min.,Samuel Fuller,Thelma Ritter,Femme Fatale,Film Noir
Ali: Fear Eats the Soul,1974,94 min.,Rainer Werner Fassbinder,Brigitte Mira,Drama,Foreign Language Film
The Raid,2011,101 min.,Gareth Evans,Iko Uwais,Action Thriller,Action
A Beautiful Mind,2001,135 min.,Ron Howard,Russell Crowe,Based-on-20th-Century-Literature,Based-on-a-True-Story
Moonlight,2016,110 min.,Barry Jenkins,Mahershala Ali,Based-on-Theatre,Coming-of-Age
Invasion of the Body Snatchers,1978,115 min.,Philip Kaufman,Donald Sutherland,Alien Invasion Films,Apocalyptic Film
Contempt,1963,103 min.,Jean-Luc Godard,Brigitte Bardot,Drama,Foreign Language Film
The 40-Year-Old Virgin,2005,116 min.,Judd Apatow,Steve Carell,Comedy,Romance
Onibaba,1964,103 min.,Kaneto Shindô,Taiji Tonoyama,Costume Horror,Drama
The Cranes are Flying,1957,94 min.,Mikhail Kalatozov,Tatyana Samojlova,Drama,Foreign Language Film
Birdman,2014,119 min.,Alejandro González Iñárritu,Michael Keaton,Black Comedy,Comedy Drama
Suspicion,1941,99 min.,Alfred Hitchcock,Cary Grant,Based-on-20th-Century-Literature,Film Noir
From Russia with Love,1963,115 min.,Terence Young,Sean Connery,Action Thriller,Action
Down by Law,1986,107 min.,Jim Jarmusch,Tom Waits,Buddy Film,Comedy
Independence Day,1996,153 min.,Roland Emmerich,Will Smith,Action,Alien Invasion Films
Giant,1956,201 min.,George Stevens,Elizabeth Taylor,Americana,Drama
Dr. No,1962,110 min.,Terence Young,Sean Connery,Action Thriller,Action
Dracula,1931,75 min.,Tod Browning,Bela Lugosi,Based-on-19th-Century-Literature,Based-on-Theatre
Autumn Sonata,1978,99 min.,Ingmar Bergman,Ingrid Bergman,Drama,Family Drama
"They Shoot Horses, Don't They?",1969,129 min.,Sydney Pollack,Susannah York,Drama,Melodrama
Porco Rosso,1992,94 min.,Hayao Miyazaki,Shûichirô Moriyama,Adventure,Animation
What We Do in the Shadows,2014,86 min.,"Jemaine Clement, Taika Waititi",Taika Waititi,Black Comedy,Comedy
Watchmen,2009,162 min.,Zack Snyder,Malin Akerman,Action,Based-on-Comics
The Devil's Backbone,2001,106 min.,Guillermo del Toro,Marisa Paredes,Foreign Language Film,Ghost Film
Spider-Man: No Way Home,2021,148 min.,Jon Watts,Tom Holland,Action,Adventure
Battle Royale,2000,114 min.,Kinji Fukasaku,Tatsuya Fujiwara,Action Thriller,Action
The Handmaiden,2016,144 min.,Chan-wook Park,Min-hee Kim,Based-on-21st-Century-Literature,Black Comedy
Beauty and the Beast,1991,84 min.,"Gary Trousdale, Kirk Wise",Richard White,Animated Musical,Animation
Skyfall,2012,120 min.,Sam Mendes,Daniel Craig,Action Thriller,Action
True Grit,2010,110 min.,Joel & Ethan Coen,Jeff Bridges,Based-on-20th-Century-Literature,Revenge Film
Walkabout,1971,100 min.,Nicolas Roeg,Jenny Agutter,Adventure Drama,Adventure
The Fly,1986,95 min.,David Cronenberg,Jeff Goldblum,Based-on-20th-Century-Literature,Body Horror
Papillon,1973,150 min.,Franklin J. Schaffner,Steve McQueen,Adventure Drama,Adventure
Make Way for Tomorrow,1937,92 min.,Leo McCarey,Victor Moore,Drama,Marriage Drama
First Blood,1982,94 min.,Ted Kotcheff,Sylvester Stallone,Action Thriller,Action
The City of Lost Children,1995,112 min.,"Marc Caro, Jean-Pierre Jeunet",Ron Perlman,Adventure,Cyberpunk / Tech Noir
Mr. Deeds Goes To Town,1936,115 min.,Frank Capra,George Bancroft,Americana,Comedy Drama
Angels with Dirty Faces,1938,97 min.,Michael Curtiz,James Cagney,Crime Drama,Crime
Slap Shot,1977,123 min.,George Roy Hill,Paul Newman,Comedy,Sports Comedy
Gremlins,1984,106 min.,Joe Dante,Zach Galligan,Comedy,Holiday Film
Room,2015,118 min.,Lenny Abrahamson,Brie Larson,Childhood Drama,Drama
The Haunting,1963,112 min.,Robert Wise,Julie Harris,Based-on-20th-Century-Literature,Ensemble Film
Foreign Correspondent,1940,120 min.,Alfred Hitchcock,Joel McCrea,Political Thriller,Spy Film
Dune: Part Two,2024,166 min.,Denis Villeneuve,Timothée Chalamet,Action,Adventure Drama
Withnail & I,1987,107 min.,Bruce Robinson,Richard E. Grant,Black Comedy,Buddy Film
Heathers,1988,102 min.,Michael Lehmann,Winona Ryder,Black Comedy,Comedy Thriller
Spartacus,1960,184 min.,Stanley Kubrick,Kirk Douglas,Based-on-20th-Century-Literature,Costume Adventure
Hell or High Water,2016,102 min.,David Mackenzie,Ben Foster,Caper,Crime Drama
The Master,2012,144 min.,Paul Thomas Anderson,Joaquin Phoenix,Drama,Period Film
Jackie Brown,1997,154 min.,Quentin Tarantino,Pam Grier,Based-on-20th-Century-Literature,Crime Drama
Near Dark,1987,94 min.,Kathryn Bigelow,Adrian Pasdar,Chase Movie,Female-Directed Film
Dogma,1999,130 min.,Kevin Smith,Linda Fiorentino,Adventure Comedy,Adventure
Fantastic Mr. Fox,2009,87 min.,Wes Anderson,George Clooney,Adventure Comedy,Adventure
Life Is Beautiful,1997,116 min.,Roberto Benigni,Roberto Benigni,Comedy Drama,Drama
Trading Places,1983,116 min.,John Landis,Dan Aykroyd,Comedy of Manners,Comedy
Gone with the Wind,1939,238 min.,Victor Fleming,Vivien Leigh,Epic,Historical Epic
The Intouchables,2011,112 min.,"Olivier Nakache, Éric Toledano",François Cluzet,Based-on-a-True-Story,Comedy Drama
The Thin Blue Line,1988,103 min.,Errol Morris,Randall Adams,Biography,Culture and Society
Yi Yi: A One and a Two,2000,173 min.,Edward Yang,Nien-Jen Wu,Drama,Ensemble Film
The Iron Giant,1999,86 min.,Brad Bird,Eli Marienthal,Animation,Buddy Film
Star Wars: The Force Awakens,2015,135 min.,J.J. Abrams,Harrison Ford,Action,Adventure
Naked,1993,131 min.,Mike Leigh,Greg Cruttwell,Black Comedy,Drama
(500) Days of Summer,2009,95 min.,Marc Webb,Joseph Gordon-Levitt,Comedy,Romance
Blow-Up,1966,111 min.,Michelangelo Antonioni,David Hemmings,Mindbender,Mystery
John Wick,2014,96 min.,Chad Stahelski,Keanu Reeves,Action,Action Thriller
Before Sunset,2004,77 min.,Richard Linklater,Ethan Hawke,Comedy Drama,Drama
"Crouching Tiger, Hidden Dragon",2000,120 min.,Ang Lee,Ziyi Zhang,Adventure,Based-on-20th-Century-Literature
Say Anything...,1989,100 min.,Cameron Crowe,John Cusack,Comedy Drama,Coming-of-Age
Baby Driver,2017,115 min.,Edgar Wright,Ansel Elgort,Action Thriller,Action
Shrek,2001,90 min.,"Andrew Adamson, Vicky Jenson",Eddie Murphy,Animation,Comedy
The Diving Bell and the Butterfly,2007,112 min.,Julian Schnabel,Marie-Josée Croze,Based-on-20th-Century-Literature,Based-on-a-True-Story
In Cold Blood,1967,134 min.,Richard Brooks,Robert Blake,Based-on-20th-Century-Literature,Based-on-a-True-Story
Smiles of a Summer Night,1955,108 min.,Ingmar Bergman,Ulla Jacobsson,Comedy,Comedy of Manners
"Synecdoche, New York",2008,124 min.,Charlie Kaufman,Michelle Williams,Drama,Mindbender
The Karate Kid,1984,126 min.,John G. Avildsen,Ralph Macchio,Action,Coming-of-Age
Spider-Man 2,2004,127 min.,Sam Raimi,Tobey Maguire,Action,Based-on-Comics
The Player,1992,124 min.,Robert Altman,Tim Robbins,Comedy,Ensemble Film
Black Christmas,1974,98 min.,Bob Clark,Olivia Hussey,Canuxploitation,Holiday Film
Pickpocket,1959,75 min.,Robert Bresson,Martin Lasalle,Crime,Crime Drama
Broadcast News,1987,133 min.,James L. Brooks,William Hurt,Comedy Drama,Media Satire
Horse Feathers,1932,68 min.,Norman Z. McLeod,Groucho Marx,Comedy,Pre-Code Hollywood
Unbreakable,2000,106 min.,M. Night Shyamalan,Bruce Willis,Psychological Thriller,Superhero Film
Cat People,1942,73 min.,Jacques Tourneur,Simone Simon,Horror,Mystery
Shutter Island,2010,138 min.,Martin Scorsese,Ben Kingsley,Based-on-21st-Century-Literature,Mindbender
Breaking Away,1979,101 min.,Peter Yates,Dennis Christopher,Comedy Drama,Coming-of-Age
True Lies,1994,141 min.,James Cameron,Jamie Lee Curtis,Action,Action Comedy
The Long Good Friday,1980,114 min.,John Mackenzie,Bob Hoskins,Crime Drama,Crime
Boyhood,2014,163 min.,Richard Linklater,Ellar Coltrane,Childhood Drama,Coming-of-Age
Bring Me the Head of Alfredo Garcia,1974,112 min.,Sam Peckinpah,Warren Oates,Action Thriller,Action
The Vanishing,1988,107 min.,George Sluizer,Bernard-Pierre Donnadieu,Foreign Language Film,Mystery
The Spirit of the Beehive,1973,97 min.,Víctor Erice,Ana Torrent,Childhood Drama,Drama
American Graffiti,1973,110 min.,George Lucas,Richard Dreyfuss,Americana,Comedy Drama
The Earrings of Madame de...,1953,105 min.,Max Ophüls,Charles Boyer,Costume Romance,Drama
Cabaret,1972,124 min.,Bob Fosse,Liza Minnelli,Based-on-Theatre,Drama
Dark City,1998,100 min.,Alex Proyas,Rufus Sewell,Cyberpunk / Tech Noir,Dystopian Film
Gran Torino,2008,116 min.,Clint Eastwood,Clint Eastwood,Drama,Psychological Drama
Clue,1985,94 min.,Jonathan Lynn,Eileen Brennan,Comedy Thriller,Comedy
Inside Out,2015,94 min.,Pete Docter,Amy Poehler,Animation,Comedy
All That Heaven Allows,1955,89 min.,Douglas Sirk,Jane Wyman,Drama,Melodrama
The Day of the Jackal,1973,143 min.,Fred Zinnemann,Edward Fox,Based-on-20th-Century-Literature,Hitman / Assassin Film
From Dusk Till Dawn,1996,108 min.,Robert Rodriguez,Harvey Keitel,Action Thriller,Action
300,2007,116 min.,Zack Snyder,Gerard Butler,Action,Based-on-Comics
Ed Wood,1994,127 min.,Tim Burton,Martin Landau,Based-on-20th-Century-Literature,Based-on-a-True-Story
Poltergeist,1982,114 min.,Tobe Hooper,JoBeth Williams,Ghost Film,Haunted House Film
My Fair Lady,1964,170 min.,George Cukor,Audrey Hepburn,Based-on-Theatre,Comedy
Back to the Future Part III,1990,118 min.,Robert Zemeckis,Michael J. Fox,Comedy Western,Comedy
Superman,1978,143 min.,Richard Donner,Marlon Brando,Action,Adventure
The Texas Chain Saw Massacre,1974,83 min.,Tobe Hooper,Marilyn Burns,Cannibal Film,Exploitation Film
The Hateful Eight,2015,176 min.,Quentin Tarantino,Samuel L. Jackson,Revisionist Western,Western
A Man for All Seasons,1966,120 min.,Fred Zinnemann,Paul Scofield,Based-on-Theatre,Courtroom Drama
The Pianist,2002,150 min.,Roman Polanski,Maureen Lipman,Based-on-a-True-Story,Biopic
Adaptation,2002,114 min.,Spike Jonze,Meryl Streep,Based-on-20th-Century-Literature,Black Comedy
Manchester by the Sea,2016,135 min.,Kenneth Lonergan,Casey Affleck,Drama,Family Drama
Pandora's Box,1929,133 min.,Georg Wilhelm Pabst,Louise Brooks,Crime Drama,Crime
Waiting for Guffman,1996,84 min.,Christopher Guest,Fred Willard,Comedy,Mockumentary
Die Hard 2,1990,124 min.,Renny Harlin,Bruce Willis,Action Thriller,Action
Das Boot,1981,149 min.,Wolfgang Petersen,Jürgen Prochnow,Adventure Drama,Adventure
MASH,1970,116 min.,Robert Altman,Donald Sutherland,Anti-War Film,Black Comedy
The Return of the Living Dead,1985,91 min.,Dan O'Bannon,Clu Gulager,Comedy,Horror Comedy
Top Gun: Maverick,2022,131 min.,Joseph Kosinski,Tom Cruise,Action,Adventure Drama
The Natural,1984,134 min.,Barry Levinson,Robert Duvall,Americana,Based-on-20th-Century-Literature
The Elephant Man,1980,124 min.,David Lynch,Anthony Hopkins,Based-on-20th-Century-Literature,Based-on-a-True-Story
Faust: A German Folk Legend,1926,116 min.,F.W. Murnau,Emil Jannings,Drama,Fantasy
The Cabin in the Woods,2012,105 min.,Drew Goddard,Kristen Connolly,Black Comedy,Fantasy
Titanic,1997,194 min.,James Cameron,Leonardo DiCaprio,Adventure,Costume Romance
Home Alone,1990,103 min.,Chris Columbus,Macaulay Culkin,Comedy,Domestic Comedy
Run Lola Run,1998,80 min.,Tom Tykwer,Franka Potente,Action Thriller,Action
Spider-Man: Homecoming,2017,134 min.,Jon Watts,Tom Holland,Action,Based-on-Comics
Short Term 12,2013,96 min.,Destin Daniel Cretton,Brie Larson,Drama,Social Problem Film
Moneyball,2011,133 min.,Bennett Miller,Brad Pitt,Based-on-21st-Century-Literature,Based-on-a-True-Story
Top Gun,1986,110 min.,Tony Scott,Tom Cruise,Action,Buddy Film
Meet Me in St. Louis,1944,113 min.,Vincente Minnelli,Margaret O'Brien,Americana,Drama
Deliverance,1972,109 min.,John Boorman,Jon Voight,Adventure Drama,Adventure
